model,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,auc_roc,pr_auc
SVM,0.704 ± 0.052,0.577 ± 0.166,0.737 ± 0.082,0.356 ± 0.066,0.433 ± 0.089,0.657 ± 0.066,0.739 ± 0.030,0.423 ± 0.081
RF,0.751 ± 0.036,0.403 ± 0.123,0.837 ± 0.046,0.388 ± 0.076,0.389 ± 0.084,0.620 ± 0.054,0.741 ± 0.023,0.406 ± 0.060
KNN,0.777 ± 0.048,0.156 ± 0.349,0.935 ± 0.146,0.073 ± 0.163,0.099 ± 0.222,0.545 ± 0.102,0.727 ± 0.029,0.392 ± 0.041
ResNet50_pretrained,0.905 ± 0.016,0.622 ± 0.135,0.974 ± 0.049,0.911 ± 0.139,0.721 ± 0.045,0.798 ± 0.046,0.932 ± 0.029,0.874 ± 0.050
ResNet50_scratch,0.730 ± 0.063,0.573 ± 0.150,0.768 ± 0.069,0.390 ± 0.105,0.460 ± 0.113,0.671 ± 0.083,0.745 ± 0.083,0.467 ± 0.137
