model,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,auc_roc,pr_auc
SVM,0.999 ± 0.001,0.999 ± 0.002,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.001,0.999 ± 0.001,1.000 ± 0.000,1.000 ± 0.000
RF,1.000 ± 0.001,0.999 ± 0.001,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.001,1.000 ± 0.001,1.000 ± 0.000,1.000 ± 0.000
KNN,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
ResNet50_pretrained,0.998 ± 0.003,0.997 ± 0.004,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.002,0.999 ± 0.002,1.000 ± 0.000,1.000 ± 0.000
ResNet50_scratch,0.995 ± 0.004,0.995 ± 0.006,0.996 ± 0.004,0.998 ± 0.002,0.996 ± 0.003,0.995 ± 0.004,1.000 ± 0.000,1.000 ± 0.000
